FFMC,BUI,WSV,WindDir,FWIBin,Season,Ecoregion
87.95,17.85,39,230,1,Spring,All
89.15,21.19,29,270,1,Spring,All
88.92,23.31,10,90,1,Spring,All
87.81,18.12,29,360,1,Spring,All
87.04,19.71,23,290,1,Spring,All
84.32,20.99,40,230,1,Spring,All
90.52,23.29,35,250,1,Spring,All
90.57,26.61,39,290,2,Spring,All
91.21,31,10,230,2,Spring,All
91.26,36.17,35,250,3,Spring,All
85.73,23.55,29,70,1,Spring,All
89.92,16.46,32,250,1,Summer,All
90.37,14.23,45,180,1,Summer,All
90.25,17.52,45,270,1,Summer,All
88.47,20.3,32,270,1,Summer,All
91.53,28.85,39,250,2,Summer,All
87.29,21.38,27,290,1,Summer,All
89.62,24.99,29,290,2,Summer,All
89.67,28.65,13,90,2,Summer,All
89.09,31.56,16,70,2,Summer,All
90.85,26.73,16,270,2,Summer,All
94.72,33.29,27,250,2,Summer,All
92.11,37.7,26,230,3,Summer,All
92.77,42.61,24,250,3,Summer,All
92.82,47.02,32,290,4,Summer,All
90.59,49.69,23,270,4,Summer,All
89.82,52.17,16,340,4,Summer,All
89.87,54.78,21,340,4,Summer,All
87.87,56.78,16,90,4,Summer,All
85.99,43.72,24,140,3,Summer,All
88.26,47.61,34,230,4,Summer,All
88.31,22.04,29,180,1,Summer,All
91.91,17.89,10,250,1,Summer,All
91.38,22.89,21,270,1,Summer,All
91.43,19.39,31,270,1,Summer,All
91.48,23.96,40,290,2,Summer,All
90.21,27,32,270,2,Summer,All
87.24,10.88,27,250,1,Summer,All
87.66,8.57,29,230,1,Summer,All
86.15,6.87,48,230,1,Summer,All
88.99,7.73,39,270,1,Summer,All
89.04,11.37,23,230,1,Summer,All
89.14,18.08,14,320,1,Summer,All
89.26,21.66,11,250,1,Summer,All
88.1,28.16,11,180,2,Summer,All
88.04,30.62,26,50,2,Summer,All
89.44,34.23,29,250,2,Summer,All
89.7,32.02,24,270,2,Summer,All
83.56,10.69,34,20,1,Summer,All
89.02,17.85,24,230,1,Summer,All
80.03,4.83,51,50,1,Summer,All
88.27,12.21,23,50,1,Summer,All
89.61,15.89,34,230,1,Summer,All
88.92,17.92,23,230,1,Summer,All
86.58,21.02,26,180,1,Summer,All
87.53,22.77,45,250,1,Summer,All
85.42,21.11,45,270,1,Summer,All
87.63,22.65,45,270,1,Summer,All
87.68,24.13,24,250,2,Summer,All
88.45,26.06,31,250,2,Summer,All
88.68,28.13,27,230,2,Summer,All
87.02,26.6,21,270,2,Summer,All
87.4,27.77,24,250,2,Summer,All
87.45,29.01,26,340,2,Summer,All
87.5,30.02,16,50,2,Summer,All
85.63,21.59,34,320,1,Summer,All
88.77,23.54,19,270,1,Summer,All
85.9,20.37,37,250,1,Summer,All
87.03,21.75,29,270,1,Summer,All
88.25,23.11,16,290,1,Summer,All
82.9,18.99,47,160,1,Summer,All
86.04,17.98,26,230,1,Fall,All
86.13,12.48,32,270,1,Fall,All
84.18,14.52,29,250,1,Fall,All
88.61,8.76,26,250,1,Spring,All
86.65,12.28,31,250,1,Spring,All
88.25,14.29,24,240,1,Spring,All
90.13,17.62,29,180,1,Spring,All
85.57,17.7,23,330,1,Spring,All
85.7,19.67,24,180,1,Spring,All
85.85,25.04,32,180,2,Spring,All
89.97,12.19,37,250,1,Spring,All
90.05,14.92,27,320,1,Spring,All
88.27,17.1,19,40,1,Spring,All
90.69,20.8,29,240,1,Spring,All
83.27,21.89,31,180,1,Spring,All
88.54,30.63,24,20,2,Spring,All
88.59,33.4,19,60,2,Spring,All
90.91,13.58,24,290,1,Spring,All
87.89,13.66,23,290,1,Spring,All
88.41,9.69,23,60,1,Summer,All
90.35,12.48,24,250,1,Summer,All
87.66,15.13,39,60,1,Summer,All
86.97,17.11,26,60,1,Summer,All
87.68,19.44,35,290,1,Summer,All
85.46,16.31,29,230,1,Summer,All
90.11,20.37,32,180,1,Summer,All
90.23,18.32,19,240,1,Summer,All
90.28,22.77,16,240,1,Summer,All
88.37,13.97,32,270,1,Summer,All
90.78,20.14,11,230,1,Summer,All
90.83,25.46,32,180,2,Summer,All
89.38,18.03,21,210,1,Summer,All
89.24,25.89,24,250,2,Summer,All
91.47,31.41,32,250,2,Summer,All
87.94,33.8,14,260,2,Summer,All
89.07,37.67,11,10,3,Summer,All
91.95,36.79,31,250,3,Summer,All
88.93,13.3,42,240,1,Summer,All
89.73,17.89,29,160,1,Summer,All
89.78,21.15,45,250,1,Summer,All
89.83,24.81,18,270,2,Summer,All
90.96,29.67,29,240,2,Summer,All
87.29,34.86,13,60,2,Summer,All
84.24,21.55,27,270,1,Summer,All
88.67,13,29,260,1,Summer,All
88.41,16.4,32,240,1,Summer,All
88.54,8.87,37,280,1,Summer,All
86.55,9.45,32,240,1,Summer,All
87.36,11.4,24,290,1,Summer,All
87.41,13.2,27,340,1,Summer,All
87.45,15.1,29,270,1,Summer,All
87.81,15.47,29,250,1,Summer,All
86.47,18.68,27,210,1,Summer,All
86.51,20.46,19,220,1,Summer,All
83.19,6.98,45,270,1,Summer,All
85.61,6.5,37,240,1,Fall,All
90.35,23.56,13,250,2,Spring,All
90.4,27.06,19,190,2,Spring,All
90.53,28.47,16,270,2,Spring,All
89.1,30.88,16,200,2,Spring,All
85.65,25.05,24,260,2,Spring,All
87.98,22.97,21,230,1,Spring,All
88.02,25.49,24,280,2,Spring,All
89.12,21.81,34,220,1,Spring,All
85.58,24.36,24,50,2,Spring,All
88.19,19.93,16,70,1,Spring,All
88.77,23.82,18,20,2,Spring,All
88.57,27.17,11,190,2,Summer,All
88.61,21.01,24,230,1,Summer,All
89.37,15.8,18,230,1,Summer,All
